35544,AL,673,0,673,0.00,100.00,361,0,361,0.00,100.00,71.770,0.022,9.377
35545,AL,100,0,100,0.00,100.00,49,0,49,0.00,100.00,1.282,0.000,77.976
35546,AL,3901,0,3901,0.00,100.00,1798,0,1798,0.00,100.00,221.119,0.429,17.642
35548,AL,1558,0,1558,0.00,100.00,839,0,839,0.00,100.00,65.058,0.131,23.948
35549,AL,4341,0,4341,0.00,100.00,2090,0,2090,0.00,100.00,115.731,0.323,37.509
35550,AL,5605,0,5605,0.00,100.00,2685,0,2685,0.00,100.00,65.806,1.375,85.175
35552,AL,1044,0,1044,0.00,100.00,558,0,558,0.00,100.00,59.630,0.000,17.508
35553,AL,4680,0,4680,0.00,100.00,2472,0,2472,0.00,100.00,142.439,3.928,32.856
35554,AL,1186,0,1186,0.00,100.00,578,0,578,0.00,100.00,51.621,0.076,22.975
35555,AL,10177,3408,6769,33.49,66.51,5075,1591,3484,31.35,68.65,315.953,1.700,32.211
35559,AL,57,0,57,0.00,100.00,20,0,20,0.00,100.00,0.656,0.000,86.909
35563,AL,4340,0,4340,0.00,100.00,2061,0,2061,0.00,100.00,103.810,0.045,41.807
35564,AL,2361,0,2361,0.00,100.00,1169,0,1169,0.00,100.00,67.258,0.128,35.103
35565,AL,13485,3922,9563,29.08,70.92,6527,1950,4577,29.88,70.12,277.832,0.831,48.536
35570,AL,11145,3207,7938,28.78,71.22,5144,1511,3633,29.37,70.63,239.004,0.097,46.631
35571,AL,895,0,895,0.00,100.00,447,0,447,0.00,100.00,62.510,1.736,14.318
35572,AL,1131,0,1131,0.00,100.00,835,0,835,0.00,100.00,74.561,2.966,15.169
35574,AL,1507,0,1507,0.00,100.00,815,0,815,0.00,100.00,101.111,0.045,14.904
35575,AL,1018,0,1018,0.00,100.00,505,0,505,0.00,100.00,37.214,0.114,27.355
35576,AL,3217,0,3217,0.00,100.00,1650,0,1650,0.00,100.00,174.018,0.113,18.487
35577,AL,38,0,38,0.00,100.00,51,0,51,0.00,100.00,3.792,0.000,10.020
35578,AL,5833,0,5833,0.00,100.00,2586,0,2586,0.00,100.00,119.326,0.438,48.883
35579,AL,3136,0,3136,0.00,100.00,1481,0,1481,0.00,100.00,141.305,2.677,22.193
35580,AL,3791,0,3791,0.00,100.00,1821,0,1821,0.00,100.00,78.424,3.235,48.340
35581,AL,5778,0,5778,0.00,100.00,2717,0,2717,0.00,100.00,121.926,1.283,47.389
35582,AL,4093,0,4093,0.00,100.00,1958,0,1958,0.00,100.00,88.910,0.570,46.035
35584,AL,460,0,460,0.00,100.00,200,0,200,0.00,100.00,0.596,0.000,771.181
35585,AL,1418,0,1418,0.00,100.00,618,0,618,0.00,100.00,39.642,0.289,35.770
35586,AL,4469,0,4469,0.00,100.00,2279,0,2279,0.00,100.00,182.464,0.345,24.492
35587,AL,1025,0,1025,0.00,100.00,482,0,482,0.00,100.00,52.862,0.213,19.390
35592,AL,4664,0,4664,0.00,100.00,2260,0,2260,0.00,100.00,124.717,0.091,37.397
35593,AL,1931,0,1931,0.00,100.00,896,0,896,0.00,100.00,117.697,0.552,16.407
35594,AL,7794,0,7794,0.00,100.00,3724,0,3724,0.00,100.00,144.469,0.169,53.949
35601,AL,34434,34431,3,99.99,0.00,14650,14650,0,100.00,0.00,28.087,6.289,1225.959
35603,AL,30545,23054,7491,75.48,24.52,13386,10263,3123,76.67,23.33,70.361,6.676,434.117
35610,AL,2252,0,2252,0.00,100.00,1046,0,1046,0.00,100.00,48.350,0.112,46.577
35611,AL,25251,14907,10344,59.04,40.96,12037,7002,5035,58.17,41.83,114.040,15.649,221.422
